cluster_id,type,canonical_normalized,canonical_provisional,variants,total_frequency,sources,identification,authority_ref,confidence
278,person,Thomas Becket,Thomas Becket,Thomas Becker | Thomas Becket | Thomas Beckets,43,vol4_index:43,,,
30,person,Godwyn,Godwyn,Godwin | Godwins | Godwyn | Godwynes | Godwyns,41,vol4_index:41,,,
456,person,Cadwallo,Cadwallo,Cad wan | Cadwallader | Cadwallan | Cadwalline | Cadwallo | Cadwalloes | Cadwan | Cadwane | Ceadwalla | Cedwallo | Cudwallo,41,vol4_index:41,,,
208,person,Geffray,Geffray,Geffray | Geffrey | Geffrey Gates | Geoffray,39,vol4_index:39,,,
790,person,Maude,Maude,Maud | Maude | Maudes,38,vol4_index:38,,,
622,person,Editha,Editha,Edgina | Edginaes | Edgita | Editah | Edith | Editha | Egditha | Elgina | Ethelgina | Ethelginu,37,vol4_index:37,,,
427,person,Saxons,Saxons,Sarons | Sarron | Sarronides | Saxons | Saxos | Saxton | Southsaxons,36,vol4_index:36,,,
88,person,Charles,Charles,Charles | Charles Iames | Churles,35,vol4_index:35,,,
98,person,Edgar,Edgar,Edgar | Edgars,35,vol4_index:35,,,
117,person,Penda,Penda,Peada | Peda | Penda | Pendaes,35,vol4_index:35,,,
122,person,Philip,Philip,Philip | Philippe | Philips | Philips Dauie | Phillip | Phillippe,33,vol4_index:33,,,
320,person,Becket Thomas,Becket Thomas,Becker Thomas | Becket Tho. | Becket Thomas | Boucher Thomas | Bouchier Thomas,33,vol4_index:33,,,
144,person,Romanes,Romanes,Remaine | Romaines | Romane | Romanes | Romans | Romanus | Romaynes,32,vol4_index:32,,,
2,person,Anselme,Anselme,Adelme | Aldhelme | Alselme | Anselme | Aselme,31,vol4_index:31,,,
72,person,Margaret,Margaret,Margaret | Margarets | Margret,31,vol4_index:31,,,
824,person,Dunstan,Dunstan,Dunstan | Dunstane | Dunstanes | Dunstans | Dustan,31,vol4_index:31,,,
2423,person,VVilliam,VVilliam,VVillia | VVilliam | VVilliam Rufus,31,vol4_index:31,,,
100,person,Ethelwolfus,Ethelwolfus,Ethelwold | Ethelwolf | Ethelwolfus | Ethelwoulfus,29,vol4_index:29,,,
107,person,Offa,Offa,Offa | Offaes,29,vol4_index:29,,,
58,person,Leir,Leir,Lei | Leil | Leill | Leir | Leirs | Leix | Lewir | Lewis,28,vol4_index:28,,,
1002,person,Raufe,Raufe,Rafe | Ranulfe | Raufe | Raufes | Raulfe,28,vol4_index:28,,,
373,person,Hugh,Hugh,Hugh,27,vol4_index:27,,,
593,person,Swanus,Swanus,Swanus,27,vol4_index:27,,,
69,person,Oswy,Oswy,Oswy | Oswye | Oswyes | Oswyn,25,vol4_index:25,,,
234,person,Englishmen,Englishmen,English | English men | Englishe men | Englishmen,25,vol4_index:25,,,
2073,person,Rufus William,Rufus William,Rufus VVilliam | Rufus William | Rufus Williams,25,vol4_index:25,,,
22,person,Augustine,Augustine,Augustine | Augustines,24,vol4_index:24,,,
33,person,Albanact,Albanact,Ada | Adam | Adwine | Alaine | Alane | Alban | Albanact | Alda | Aldayne | Aldwine | Aldwyne | Alewine | Alswine | Alswyn | Alwine | Alwynne | Aylewin,24,vol4_index:24,,,
134,person,Seuerus,Seuerus,Seuerus,24,vol4_index:24,,,
106,person,Roger,Roger,Roger | Roges,23,vol4_index:23,,,
164,person,Eleanor,Eleanor,Eleanor | Elenor | Elianor | Elienor | Elinor,23,vol4_index:23,,,
425,person,Vortigernus,Vortigernus,Vortigernus | Vortigerus,23,vol4_index:23,,,
552,person,Dauid,Dauid,Dauid | Dauid De,23,vol4_index:23,,,
918,person,Otho,Otho,Oth | Otha | Otho | Othoban | Othobon | Othobone | Othon,23,vol4_index:23,,,
962,person,Sigibert,Sigibert,Sibert | Sigibert,23,vol4_index:23,,,
21,person,Theodore,Theodore,Theodora | Theodore | Theodoretus | Theodoricke | Theodorus | Theodosius,22,vol4_index:22,,,
63,person,Emma,Emma,Emma | Emmae,22,vol4_index:22,,,
116,person,Danaus,Danaus,Danaus | Dannus | Danus | Didanus | Donaus,22,vol4_index:22,,,
120,person,Christ,Christ,Christ | Christe | Christerne | Christians | Christianus | Christias | Christierne | Christin,22,vol4_index:22,,,
177,person,Elizabeth,Elizabeth,Elizabeth | Elizabeth Gray | Elizabeth Grey | Elizabeth Lucy,22,vol4_index:22,,,
348,person,Henry Fitzempresse,Henry Fitzempresse,Henrie Fitzempresse | Henry Fitzempresse | Henrye Fitz Empresse | Henrye Fitzempresse | Hery Fitzempresse,21,vol4_index:21,,,
674,person,Paulinus,Paulinus,Pal | Palingus | Paul | Paule | Paulinus | Paulus,21,vol4_index:21,,,
150,person,Cesar,Cesar,Cesar | Cesars,20,vol4_index:20,,,
691,person,Eustace,Eustace,Eustace,20,vol4_index:20,,,
102,person,Vter Pendragon,Vter Pendragon,Vter Pendragon,19,vol4_index:19,,,
1328,person,Oswald,Oswald,Oswald | Oswaldes,19,vol4_index:19,,,
218,person,Aruiragus,Aruiragus,Aruiragus,18,vol4_index:18,,,
227,person,Claudius,Claudius,Clandius | Claudianus | Claudius,18,vol4_index:18,,,
1131,person,Mary,Mary,Maruey | Mary,18,vol4_index:18,,,
126,person,Hubert,Hubert,Hubert,17,vol4_index:17,,,
1168,person,Rollo,Rollo,Rollo,17,vol4_index:17,,,
18,person,Adrian,Adrian,Adrian | Adrians,16,vol4_index:16,,,
79,person,Odo,Odo,Oddo | Odo,16,vol4_index:16,,,
127,person,Ella,Ella,Ella,16,vol4_index:16,,,
133,person,Theobald,Theobald,Theobald | Theobalde | Theodbaldus,16,vol4_index:16,,,
194,person,Reginald,Reginald,Regiginald | Reginald | Reinald | Reinold | Reynold | Reynolds,16,vol4_index:16,,,
442,person,Inas,Inas,Inars | Inarus | Inas | Iuarus,16,vol4_index:16,,,
630,person,Edgar Edeling,Edgar Edeling,Edgar Edeling,16,vol4_index:16,,,
683,person,Helene,Helene,Helen | Helene | Herene,16,vol4_index:16,,,
711,person,Tostie,Tostie,Tosie | Toslie | Tostie,16,vol4_index:16,,,
71,person,Alexander,Alexander,Alexander | Alexander Neuil,15,vol4_index:15,,,
147,person,Cassibellane,Cassibellane,Cassibellane | Cassibellanes | Cassibellanus | Cassibelsane,15,vol4_index:15,,,
213,person,William Conquerour,William Conquerour,Wil. Conqueroure | Willia Conquerour | William Conquerour | William Conqueroure | Wylliam Conquerour,15,vol4_index:15,,,
322,person,Ethelbaldus,Ethelbaldus,Ethelbald | Ethelbaldus | Ethelbuldus,15,vol4_index:15,,,
431,person,Iulius Cesar,Iulius Cesar,Iulius Cesar,15,vol4_index:15,,,
465,person,Elidurus,Elidurus,Edurus | Elidurus,15,vol4_index:15,,,
781,person,Hardicnute,Hardicnute,Hardecnute | Hardicnute | Hardicnutes | Hardienute,15,vol4_index:15,,,
17,person,Gurthrun,Gurthrun,Guethrun | Gurth | Gurthrun | Gurthryd | Guthryd,14,vol4_index:14,,,
65,person,Algar,Algar,Algar,14,vol4_index:14,,,
73,person,Ecgfride,Ecgfride,Ecgfride | Egfride,14,vol4_index:14,,,
81,person,Sithrike,Sithrike,Sichrike | Sithaike | Sithrik | Sithrike,14,vol4_index:14,,,
87,person,Peter,Peter,Peter,14,vol4_index:14,,,
327,person,Brennus,Brennus,Berennus | Brennus,14,vol4_index:14,,,
392,person,Griffin,Griffin,Griffin | Griffin Rees | Griffith | Griffn | Griffyn | Gryffin,14,vol4_index:14,,,
599,person,Cedda,Cedda,Ceadda | Cedda,14,vol4_index:14,,,
67,person,Edmond Ironside,Edmond Ironside,Edmond Ironside | Edmond Iroside | Edmonde Ironside,13,vol4_index:13,,,
103,person,Conan,Conan,Colman | Conan | Conanus | Conrade | Conran | Corman,13,vol4_index:13,,,
154,person,Germane,Germane,Germaine | Germane | Germanes,13,vol4_index:13,,,
171,person,Bassianus,Bassianus,Bassianus,13,vol4_index:13,,,
203,person,Iames,Iames,Iames,13,vol4_index:13,,,
249,person,Perkin Warbecke,Perkin Warbecke,Perkin Warbeck | Perkin Warbecke | Perkin Werbec | Perkin Werbecke,13,vol4_index:13,,,
274,person,Baldwyn,Baldwyn,Baldwin | Baldwine | Baldwins | Baldwyn | Baldwyne | Balwin,13,vol4_index:13,,,
325,person,Beda,Beda,Beda,13,vol4_index:13,,,
326,person,Belinus,Belinus,Beinus | Belinus | Brinus,13,vol4_index:13,,,
438,person,Ethelburga,Ethelburga,Ethelburga,13,vol4_index:13,,,
569,person,Isabel,Isabel,Isabel | Isabell,13,vol4_index:13,,,
725,person,Gratianus,Gratianus,Gracianus | Gratianus,13,vol4_index:13,,,
739,person,Walter,Walter,Walteof | Walteofes | Walter | Waltheof,13,vol4_index:13,,,
747,person,Gurguintus,Gurguintus,Gurguintus | Gurguntus | Gurgustius | Gurgustus,13,vol4_index:13,,,
1417,person,Iane,Iane,Iane | Ieane | Igwane | Igwarne | Ioan | Ioane,13,vol4_index:13,,,
315,person,Barnes,Barnes,Barners | Barnes | Barons | Bearn | Bearne | Beorne | Bourne,12,vol4_index:12,,,
428,person,Hengist,Hengist,Hengist,12,vol4_index:12,,,
690,person,Coilus,Coilus,Coilus | Comius,12,vol4_index:12,,,
754,person,Katharine,Katharine,Katharin | Katharine | Katharine Howard | Katharine Parre | Katheren | Katherine,12,vol4_index:12,,,
915,person,Occa,Occa,Occa,12,vol4_index:12,,,
68,person,Albion,Albion,Albina | Albinus | Albion,11,vol4_index:11,,,
80,person,Godfrey,Godfrey,Godfray | Godfrey,11,vol4_index:11,,,
135,person,Anne,Anne,Anne,11,vol4_index:11,,,
142,person,Hercules,Hercules,Hercules,11,vol4_index:11,,,
167,person,Loth,Loth,Loth | Lother | Lothore | Lothorer,11,vol4_index:11,,,
195,person,Aurelius Ambrose,Aurelius Ambrose,Aurelius Ambrose,11,vol4_index:11,,,
374,person,Fraunces,Fraunces,Frances | Francis | Fraunces,11,vol4_index:11,,,
531,person,Britaynes,Britaynes,Britaynes | Brytaines | Brytaynes,11,vol4_index:11,,,
645,person,Mordred,Mordred,Mordred | Mordreds,11,vol4_index:11,,,
842,person,Valentinianus,Valentinianus,Valenrinianus | Valentinian | Valentinianus | Valentinus | Valentinyan | Verianianus,11,vol4_index:11,,,
867,person,Druides,Druides,Druides | Druis,11,vol4_index:11,,,
1007,person,Locrinus,Locrinus,Locrinus,11,vol4_index:11,,,
1258,person,Siward,Siward,Siward | Siwarde | Suardus | Suward,11,vol4_index:11,,,
1639,person,Malcolme,Malcolme,Malcolm | Malcolme | Malcolne,11,vol4_index:11,,,
25,person,Cuthred,Cuthred,Cuthred,10,vol4_index:10,,,
82,person,Molle,Molle,Molle | Mollo,10,vol4_index:10,,,
139,person,Pandrasus,Pandrasus,Pandrasus | Pandrusus,10,vol4_index:10,,,
426,person,Gurmundus,Gurmundus,Gurmo | Gurmond | Gurmund | Gurmundus,10,vol4_index:10,,,
435,person,Cenwalch,Cenwalch,Celwalch | Cenwalch,10,vol4_index:10,,,
443,person,Corineus,Corineus,Corineus,10,vol4_index:10,,,
534,person,Caratacus,Caratacus,Caratacus | Cataracus | Cataratacus,10,vol4_index:10,,,
926,person,Edrick de Streona,Edrick de Streona,Ederick de Streona | Ediricke de Streona | Edrick de Streona | Edrick de Streonas | Edricke de Streona,10,vol4_index:10,,,
1124,person,Gilbert,Gilbert,Gaunt Gilbert | Gilbert,10,vol4_index:10,,,
1268,person,Leofwin,Leofwin,Lefwyn | Leo | Leof | Leofwin | Leofwyne | Leoun,10,vol4_index:10,,,
1641,person,Magnus,Magnus,Maglanus | Magnus | Magus,10,vol4_index:10,,,
1923,person,Picts,Picts,Picts,10,vol4_index:10,,,
2037,person,Thurstane,Thurstane,Thrustain | Thrustan | Thrustane | Thurstane | Thustaine | Turstan,10,vol4_index:10,,,
2345,person,Turkell,Turkell,Turkel | Turkell,10,vol4_index:10,,,
23,person,Adelwold,Adelwold,Adelwold,9,vol4_index:9,,,
64,person,Swaine,Swaine,Swain | Swaine,9,vol4_index:9,,,
136,person,Angus,Angus,Angus | Angussel,9,vol4_index:9,,,
183,person,king Iohn,king Iohn,king Iohn | kyng Iohn | kyng Iohns,9,vol4_index:9,,,
206,person,Guenhera,Guenhera,Guenbera | Guenhera,9,vol4_index:9,,,
236,person,Spencers,Spencers,Spencer | Spencer Hugh | Spencers,9,vol4_index:9,,,
272,person,Aydan,Aydan,Aydan | Aydans,9,vol4_index:9,,,
342,person,Kinewulfe,Kinewulfe,Kenelwoulf | Kinelwulf | Kinewulf | Kinewulfe,9,vol4_index:9,,,
349,person,Osbright,Osbright,Osbright | Osbrightes,9,vol4_index:9,,,
468,person,Cinegiscus,Cinegiscus,Cinegiscus | Cinegiseus,9,vol4_index:9,,,
511,person,Burthred,Burthred,Burchred | Burthred,9,vol4_index:9,,,
551,person,Redwald,Redwald,Redwald | Redwals,9,vol4_index:9,,,
767,person,Cumdagins,Cumdagins,Cumdagins | Cumdagius | Cunedagius | Cunidagius | Cunidagus,9,vol4_index:9,,,
900,person,Eadbald,Eadbald,Eadbald | Eaubald | Eubald,9,vol4_index:9,,,
916,person,Rise,Rise,Rigsig | Rise | Risige,9,vol4_index:9,,,
951,person,Lambert,Lambert,Lambert,9,vol4_index:9,,,
960,person,Stigande,Stigande,Stigand | Stigande,9,vol4_index:9,,,
1216,person,Melga,Melga,Melga,9,vol4_index:9,,,
1245,person,Guanius,Guanius,Guanius,9,vol4_index:9,,,
1571,person,Welchmen,Welchmen,Welchman | Welchmen,9,vol4_index:9,,,
1643,person,Marshal William,Marshal William,Mallet William | Marisch William | Marishe William | Marshal William | Marshall William,9,vol4_index:9,,,
1934,person,Plantagenet Geffray,Plantagenet Geffray,Plantagenet | Plantagenet Geffray | Plantagenet William,9,vol4_index:9,,,
1942,person,Poynings Edward,Poynings Edward,Poinings Edward | Poinyngs Edward | Poynings Edward | Poynings Edwarde,9,vol4_index:9,,,
2444,person,William Malmesburie,William Malmesburie,William Malmesb | William Malmesb. | William Malmesburie | William Mulmesburie | William of Malmesb. | William of Malmesburie,9,vol4_index:9,,,
45,person,Cobham,Cobham,Cham | Cobham,8,vol4_index:8,,,
198,person,Aurelius Conanus,Aurelius Conanus,Aurelius Canonus | Aurelius Cnaus | Aurelius Conanus,8,vol4_index:8,,,
205,person,Howel,Howel,Howel | Howell,8,vol4_index:8,,,
225,person,Archigallo,Archigallo,Archigallo,8,vol4_index:8,,,
263,person,Iaphet,Iaphet,Iapetus | Iaphet,8,vol4_index:8,,,
332,person,Beatrice,Beatrice,Beatrice | Beatrite | Beatrix,8,vol4_index:8,,,
353,person,Porter,Porter,Porrer | Porrex | Port | Porter | Porth | Poter,8,vol4_index:8,,,
424,person,Pelagius,Pelagius,Pelagians | Pelagius,8,vol4_index:8,,,
466,person,Lud,Lud,Lud,8,vol4_index:8,,,
516,person,Voadicia,Voadicia,Voadicia,8,vol4_index:8,,,
602,person,Ceolwolfe,Ceolwolfe,Cenulfe | Ceolnulfe | Ceoluolf | Ceolwolfe | Cewolfe,8,vol4_index:8,,,
610,person,Osrike,Osrike,Osrick | Osricke | Osrike,8,vol4_index:8,,,
611,person,Cheuling,Cheuling,Chauling | Cheuling | Cheuting,8,vol4_index:8,,,
689,person,Licinius,Licinius,Licinius | Lupicimus | Lupicinus,8,vol4_index:8,,,
827,person,Hungerford,Hungerford,Hungar | Hunger | Hungerford,8,vol4_index:8,,,
910,person,Oswin,Oswin,Oswin | Owin,8,vol4_index:8,,,
919,person,Edmerus,Edmerus,Edmerus | Edmetus | Enmerus,8,vol4_index:8,,,
942,person,George,George,Georg | George,8,vol4_index:8,,,
1050,person,Fits Williams William,Fits Williams William,Fits Williams Willia | Fits Williams William | Fitz Williams Willia | Fitz Williams William | Fitzwilliams William,8,vol4_index:8,,,
1138,person,Monmouth,Monmouth,Monmouth,8,vol4_index:8,,,
1343,person,Matthew,Matthew,Mathew | Mathewe | Matthew,8,vol4_index:8,,,
1527,person,Osred,Osred,Osrec | Osred,8,vol4_index:8,,,
2447,person,VVilfrid,VVilfrid,VVilfred | VVilfrid | VVinfrid,8,vol4_index:8,,,
4,person,Martinus,Martinus,Mamertinus | Martia | Martias | Martin | Martinus,7,vol4_index:7,,,
28,person,Edilwald,Edilwald,Edelwald | Edilwald | Edilwalke | Edilwold,7,vol4_index:7,,,
44,person,Honorius,Honorius,Honorius,7,vol4_index:7,,,
57,person,Cordilla,Cordilla,Corddilla | Cordilla,7,vol4_index:7,,,
124,person,Carausius,Carausius,Caransius | Carausius,7,vol4_index:7,,,
129,person,Neptune,Neptune,Neptune | Neptunus,7,vol4_index:7,,,
146,person,Androgeus,Androgeus,Androgeus,7,vol4_index:7,,,
260,person,Kenelme,Kenelme,Kenelme | Kenelmes,7,vol4_index:7,,,
273,person,Breuse William,Breuse William,Barkeley Wylliam | Barley Wylliam | Barnes Wylliam | Barres William | Breause William | Breuse William,7,vol4_index:7,,,
407,person,Humfrey,Humfrey,Humfrey | Humfrey Bohun | Humfry,7,vol4_index:7,,,
432,person,Cerdicus,Cerdicus,Celricus | Cerdicus,7,vol4_index:7,,,
436,person,Dioclesianus,Dioclesianus,Dioclesanus | Dioclesian | Dioclesians | Dioclesianus | Diocleslanus,7,vol4_index:7,,,
463,person,Plautius,Plautius,Plautius,7,vol4_index:7,,,
475,person,Ebranke,Ebranke,Ebrancke | Ebranke,7,vol4_index:7,,,
488,person,Guy,Guy,Guy | Guyon | Guyse,7,vol4_index:7,,,
518,person,Kenulfe,Kenulfe,Kenufe | Kenulf | Kenulfe | Kenulfes | Kenvulf | Kenvulfe,7,vol4_index:7,,,
579,person,Flemmings,Flemmings,Fleming | Flemmings,7,vol4_index:7,,,
768,person,Margan,Margan,Margan,7,vol4_index:7,,,
825,person,Gerard,Gerard,Gald | Gerald | Gerard,7,vol4_index:7,,,
844,person,Hastings,Hastings,Hastiges | Hastinges | Hastings | Hastings Henry | Hugh Hastings,7,vol4_index:7,,,
852,person,Samothes,Samothes,Samothe | Samothei | Samothes,7,vol4_index:7,,,
862,person,Russel Iohn,Russel Iohn,Roufe Iohn | Rous Iohn | Rousse Iohn | Russel | Russel Iohn | Russell,7,vol4_index:7,,,
1018,person,Iudith,Iudith,Iudith | Iudithil,7,vol4_index:7,,,
1240,person,Guinderius,Guinderius,Guiderius | Guinderius,7,vol4_index:7,,,
1254,person,Guintolinus,Guintolinus,Gnintolinus | Guintelinus | Guintolinus | Guintolsnus,7,vol4_index:7,,,
1317,person,Nicholas,Nicholas,Nichola | Nicholas | Nicholas Mules | Nicholas Musgraue | Nicolas,7,vol4_index:7,,,
1360,person,Peredurus,Peredurus,Peredurus,7,vol4_index:7,,,
1382,person,Iustus,Iustus,Iustus,7,vol4_index:7,,,
1509,person,Mellitus,Mellitus,Mellitus,7,vol4_index:7,,,
1511,person,Paulinus Suetonius,Paulinus Suetonius,Paulinus Suetonius,7,vol4_index:7,,,
2005,person,Raymond,Raymond,Raymond | Reimond | Reymond,7,vol4_index:7,,,
2165,person,Simon Dunelmen,Simon Dunelmen,Simon Dane | Simon Dunelhen | Simon Dunelm | Simon Dunelmen,7,vol4_index:7,,,
10,person,Wilfride,Wilfride,Wilfride | Wilfrides,6,vol4_index:6,,,
39,person,Ida,Ida,Ida,6,vol4_index:6,,,
43,person,Aetius,Aetius,Aeti | Aetius | Atrius,6,vol4_index:6,,,
46,person,Agricola,Agricola,Agricola | Agricolas | Agricula | Agriculas,6,vol4_index:6,,,
54,person,Hubba,Hubba,Hubba | Hubbo | Hubo,6,vol4_index:6,,,
66,person,Leofrike,Leofrike,Leofricke | Leofrike,6,vol4_index:6,,,
86,person,Aswald,Aswald,Alswalde | Alswold | Aswald,6,vol4_index:6,,,
90,person,Fauconbridge,Fauconbridge,Fanconbridge | Fauconbridge,6,vol4_index:6,,,
151,person,Augustus Cesar,Augustus Cesar,Augustus Cesar,6,vol4_index:6,,,
186,person,kyng William Rufus,kyng William Rufus,Kilkeny William | Kyng William | king William | king Wylliam Rufus | kyng William Rufus,6,vol4_index:6,,,
188,person,Thomas Howard,Thomas Howard,Thom. lord Haward | Thomas Holand | Thomas Holland | Thomas Howard | Thomas lord Howard,6,vol4_index:6,,,
224,person,Lucius,Lucius,Lucius,6,vol4_index:6,,,
228,person,Morindus,Morindus,Morindus,6,vol4_index:6,,,
235,person,Sarasins,Sarasins,Sarasins,6,vol4_index:6,,,
240,person,Kymbeline,Kymbeline,Kymbelaine | Kymbeline,6,vol4_index:6,,,
275,person,Geta,Geta,Get | Geta,6,vol4_index:6,,,
289,person,Iohn Bal,Iohn Bal,Iohn Badby | Iohn Baget | Iohn Bailol | Iohn Bal | Iohn Blunt | Iohn Hal,6,vol4_index:6,,,
343,person,Ranulphe,Ranulphe,Ranulph | Ranulphe | Raynulphe,6,vol4_index:6,,,
395,person,Colgerne,Colgerne,Colgerne,6,vol4_index:6,,,
437,person,Brightrick,Brightrick,Brightrick | Bryghtrick,6,vol4_index:6,,,
441,person,Brute Greeneshield,Brute Greeneshield,Brute Greeneshed | Brute Greenesheild | Brute Greeneshield | Brute Greenishield,6,vol4_index:6,,,
444,person,Kenricus,Kenricus,Kenricus | Kenticus,6,vol4_index:6,,,
446,person,Louell,Louell,Lou | Louel | Louell,6,vol4_index:6,,,
559,person,Vortimer,Vortimer,Vortimer,6,vol4_index:6,,,
560,person,Horsus,Horsus,Horsus,6,vol4_index:6,,,
614,person,Wolfhere,Wolfhere,Wolfhere | Wolshere | Wolsihere | Wolthere,6,vol4_index:6,,,
618,person,Roderike,Roderike,Roderike,6,vol4_index:6,,,
687,person,Marentius,Marentius,Marentius | Mareutius | Maxentius,6,vol4_index:6,,,
749,person,Theomantius,Theomantius,Theomantius,6,vol4_index:6,,,
753,person,Gray,Gray,Gray,6,vol4_index:6,,,
812,person,Darby,Darby,Darby,6,vol4_index:6,,,
817,person,Ferrex,Ferrex,Ferrers | Ferrex,6,vol4_index:6,,,
901,person,Eaufride,Eaufride,Eadfride | Eadsride | Eaufride,6,vol4_index:6,,,
905,person,Ercombert,Ercombert,Earconbert | Earconberte | Earcopbert | Ercombert,6,vol4_index:6,,,
922,person,Normans,Normans,Normans | Normas,6,vol4_index:6,,,
1029,person,Vespasian,Vespasian,Vaspasian | Vespasian,6,vol4_index:6,,,
1032,person,Hirilda,Hirilda,Hilda | Hildila | Hirilda,6,vol4_index:6,,,
1200,person,Gorolus,Gorolus,Gorolus,6,vol4_index:6,,,
1228,person,Guendoloena,Guendoloena,Guendoloena,6,vol4_index:6,,,
1272,person,Har. William,Har. William,Har. William | Harold William | Howard William,6,vol4_index:6,,,
1359,person,Vigenius,Vigenius,Vigenius,6,vol4_index:6,,,
1425,person,Sighere,Sighere,Sighere,6,vol4_index:6,,,
1482,person,Rowen,Rowen,Rowen,6,vol4_index:6,,,
1549,person,Lacy Roger,Lacy Roger,Lacie Roger | Lacy Roger,6,vol4_index:6,,,
1550,person,Lanfranke,Lanfranke,Lanfrank | Lanfranke,6,vol4_index:6,,,
1551,person,Laurence,Laurence,Laurence,6,vol4_index:6,,,
1574,person,Walcher,Walcher,Walc | Walcher | Walchrr,6,vol4_index:6,,,
1655,person,Octauius,Octauius,Octauius,6,vol4_index:6,,,
1795,person,Nigel,Nigel,Nigel | Nigelius | Nigellus | Niger,6,vol4_index:6,,,
1821,person,Osca,Osca,Osca,6,vol4_index:6,,,
